column,source_file_group,measure_group,missing_percent,non_missing_count,dtype,meaning,lunar_use,decision
P_DR2TOT_DRABF,P_DR2TOT,Dietary intake,18.8,12634,float64,Breastfeeding status/context variable in dietary recall file.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR2TOT_DRDINT,P_DR2TOT,Dietary intake,18.8,12634,float64,Number of days between dietary recalls or dietary interview timing variable.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR2TOT_DR2DAY,P_DR2TOT,Dietary intake,29.72,10936,float64,Day of week for Day 2 dietary recall.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR2TOT_DR2LANG,P_DR2TOT,Dietary intake,29.38,10989,float64,Language used for Day 2 dietary recall.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR2TOT_DR2STY,P_DR2TOT,Dietary intake,29.72,10936,float64,Day 2 salt type / dietary behavior variable; verify coding before modeling.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DR2TOT_DR2_300,P_DR2TOT,Dietary intake,29.72,10936,float64,Dietary recall variable retained after missingness filtering; exact coding should be verified in CDC documentation before modeling.,Potential dietary context variable; review before use.,Review
P_DR2TOT_DR2TWSZ,P_DR2TOT,Dietary intake,29.72,10936,float64,Day 2 tap water amount/support variable; verify coding before modeling.,Dietary recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_WTDRD1PP,P_DS1TOT,Supplement intake,8.1,14300,float64,Day 1 dietary sample weight for the 2017-March 2020 pre-pandemic file.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_WTDR2DPP,P_DS1TOT,Supplement intake,18.8,12634,float64,Two-day dietary sample weight for the 2017-March 2020 pre-pandemic file.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_DR1DRSTZ,P_DS1TOT,Supplement intake,8.1,14300,float64,Day 1 dietary recall status.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_DR1EXMER,P_DS1TOT,Supplement intake,17.52,12834,float64,Day 1 dietary recall exam/interview mode or related status variable.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_DRDINT,P_DS1TOT,Supplement intake,18.8,12634,float64,Number of days between dietary recalls or dietary interview timing variable.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_DR1DBIH,P_DS1TOT,Supplement intake,21.79,12170,float64,Day 1 dietary recall interval or interview timing variable.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_DR1DAY,P_DS1TOT,Supplement intake,17.52,12834,float64,Day of week for Day 1 dietary recall.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_DR1LANG,P_DS1TOT,Supplement intake,17.43,12848,float64,Language used for Day 1 dietary recall.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_DR1MRESP,P_DS1TOT,Supplement intake,18.88,12623,float64,Main respondent for Day 1 dietary recall.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_DR1HELP,P_DS1TOT,Supplement intake,18.95,12611,float64,Assistance/helper indicator for Day 1 dietary recall.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS1TOT_DS1DSCNT,P_DS1TOT,Supplement intake,19.11,12586,float64,Number of dietary supplements reported for Day 1.,Supplement exposure/context variable; useful if supplement intake is included.,Review
P_DS1TOT_DS1DS,P_DS1TOT,Supplement intake,19.11,12586,float64,Day 1 dietary supplement use indicator/summary variable; verify coding before modeling.,Supplement exposure/context variable; useful if supplement intake is included.,Review
P_DS1TOT_DS1ANCNT,P_DS1TOT,Supplement intake,18.86,12626,float64,Number of antacid products reported for Day 1.,Supplement exposure/context variable; useful if supplement intake is included.,Review
P_DS1TOT_DS1AN,P_DS1TOT,Supplement intake,18.86,12626,float64,Day 1 antacid use indicator/summary variable; verify coding before modeling.,Supplement exposure/context variable; useful if supplement intake is included.,Review
P_DS2TOT_WTDRD1PP,P_DS2TOT,Supplement intake,8.1,14300,float64,Day 1 dietary sample weight for the 2017-March 2020 pre-pandemic file.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS2TOT_WTDR2DPP,P_DS2TOT,Supplement intake,18.8,12634,float64,Two-day dietary sample weight for the 2017-March 2020 pre-pandemic file.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS2TOT_DR2DRSTZ,P_DS2TOT,Supplement intake,8.1,14300,float64,Day 2 dietary recall status.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS2TOT_DR2EXMER,P_DS2TOT,Supplement intake,29.72,10936,float64,Day 2 dietary recall exam/interview mode or related status variable.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS2TOT_DRDINT,P_DS2TOT,Supplement intake,18.8,12634,float64,Number of days between dietary recalls or dietary interview timing variable.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS2TOT_DR2DAY,P_DS2TOT,Supplement intake,29.72,10936,float64,Day of week for Day 2 dietary recall.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DS2TOT_DR2LANG,P_DS2TOT,Supplement intake,29.38,10989,float64,Language used for Day 2 dietary recall.,Supplement recall context/quality variable; use for filtering or survey weighting if needed.,Support
P_DSQTOT_DSDCOUNT,P_DSQTOT,Supplement intake,0.0,15560,float64,Number of dietary supplements reported in the supplement questionnaire period.,Supplement exposure/context variable; useful if supplement intake is included.,Review
P_DSQTOT_DSDANCNT,P_DSQTOT,Supplement intake,0.0,15560,float64,Number of antacid products reported in the supplement questionnaire period.,Supplement exposure/context variable; useful if supplement intake is included.,Review
P_DSQTOT_DSD010,P_DSQTOT,Supplement intake,0.0,15560,float64,Dietary supplement use indicator in questionnaire period.,Supplement exposure/context variable; useful if supplement intake is included.,Review
P_DSQTOT_DSD010AN,P_DSQTOT,Supplement intake,0.0,15560,float64,Antacid use indicator in questionnaire period.,Supplement exposure/context variable; useful if supplement intake is included.,Review
